period_start,review_count,high_score_ratio,average_rating
2016-10-24,101,0.18811881188118812,2.6633663366336635
2016-10-31,111,0.23423423423423423,2.8378378378378377
2016-11-07,115,0.1565217391304348,2.591304347826087
2016-11-14,137,0.1897810218978102,2.6204379562043796
2016-11-21,122,0.3114754098360656,2.8524590163934427
2016-11-28,112,0.32142857142857145,2.9107142857142856
2016-12-05,149,0.3624161073825503,2.953020134228188
2016-12-12,150,0.4,3.08
2016-12-19,184,0.532608695652174,3.255434782608696
2016-12-26,264,0.4621212121212121,3.0757575757575757
2017-01-02,165,0.4303030303030303,3.103030303030303
2017-01-09,145,0.41379310344827586,2.972413793103448
2017-01-16,132,0.3409090909090909,2.962121212121212
2017-01-23,128,0.2734375,2.8046875
2017-01-30,127,0.33070866141732286,2.8661417322834644
2017-02-06,334,0.12275449101796407,2.2395209580838324
2017-02-13,221,0.1583710407239819,2.4615384615384617
2017-02-20,195,0.2564102564102564,2.825641025641026
2017-02-27,171,0.32748538011695905,2.953216374269006
2017-03-06,168,0.3630952380952381,2.9761904761904763
2017-03-13,396,0.4015151515151515,2.8813131313131315
2017-03-20,183,0.36065573770491804,2.939890710382514
2017-03-27,192,0.4322916666666667,3.1979166666666665
2017-04-03,216,0.49537037037037035,3.425925925925926
2017-04-10,135,0.3925925925925926,2.9703703703703703
2017-04-17,238,0.29411764705882354,2.642857142857143
2017-04-24,148,0.40540540540540543,3.1554054054054053
2017-05-01,159,0.36477987421383645,2.993710691823899
2017-05-08,408,0.17647058823529413,2.7083333333333335
2017-05-15,270,0.3,2.814814814814815
2017-05-22,224,0.2857142857142857,2.9375
2017-05-29,183,0.3442622950819672,2.9672131147540983
2017-06-05,174,0.3103448275862069,2.9482758620689653
2017-06-12,161,0.2608695652173913,2.8819875776397517
2017-06-19,166,0.28313253012048195,2.9036144578313254
2017-06-26,204,0.5490196078431373,3.4558823529411766
2017-07-03,272,0.5992647058823529,3.636029411764706
2017-07-10,176,0.3465909090909091,3.090909090909091
2017-07-17,142,0.3028169014084507,2.964788732394366
2017-07-24,180,0.32222222222222224,2.988888888888889
2017-07-31,169,0.44970414201183434,3.331360946745562
2017-08-07,204,0.47058823529411764,3.3137254901960786
2017-08-14,218,0.42201834862385323,3.206422018348624
2017-08-21,156,0.42948717948717946,3.217948717948718
2017-08-28,138,0.36231884057971014,3.0869565217391304
2017-09-04,153,0.37254901960784315,3.1176470588235294
